"id","course_academia_panel_id","course_id","academia_panel_id","position","status","added_date","modified_date"
"743","66","145","1",NULL,"A","1625047668",NULL
"744","66","145","10",NULL,"A","1625047668",NULL
"745","66","145","27",NULL,"A","1625047668",NULL
"746","66","145","28",NULL,"A","1625047668",NULL
"747","67","147","1",NULL,"A","1627115284",NULL
"748","67","147","9",NULL,"A","1627115284",NULL
"749","67","147","68",NULL,"A","1627115284",NULL
"750","67","147","72",NULL,"A","1627115284",NULL
"751","67","147","73",NULL,"A","1627115284",NULL
"752","67","147","74",NULL,"A","1627115284",NULL
"753","67","147","84",NULL,"A","1627115284",NULL
"754","67","147","90",NULL,"A","1627115284",NULL
"755","68","148","1",NULL,"A","1627122264",NULL
"756","68","148","19",NULL,"A","1627122264",NULL
"757","68","148","22",NULL,"A","1627122264",NULL
"758","68","148","51",NULL,"A","1627122264",NULL
"759","68","148","52",NULL,"A","1627122264",NULL
"760","68","148","53",NULL,"A","1627122264",NULL
"862","15","13","1",NULL,"A","1629734826",NULL
"863","15","13","6",NULL,"A","1629734826",NULL
"864","15","13","9",NULL,"A","1629734826",NULL
"865","15","13","10",NULL,"A","1629734826",NULL
"866","15","13","41",NULL,"A","1629734826",NULL
"867","15","13","42",NULL,"A","1629734826",NULL
"868","15","13","43",NULL,"A","1629734826",NULL
"869","15","13","45",NULL,"A","1629734826",NULL
"870","15","13","46",NULL,"A","1629734826",NULL
"871","15","13","100",NULL,"A","1629734826",NULL
"872","71","153","1",NULL,"A","1632379748",NULL
"873","71","153","38",NULL,"A","1632379748",NULL
"874","71","153","39",NULL,"A","1632379748",NULL
"875","71","153","40",NULL,"A","1632379748",NULL
"876","40","39","1",NULL,"A","1632381899",NULL
"877","40","39","9",NULL,"A","1632381899",NULL
"878","40","39","10",NULL,"A","1632381899",NULL
"879","40","39","42",NULL,"A","1632381899",NULL
"880","40","39","43",NULL,"A","1632381899",NULL
"881","40","39","45",NULL,"A","1632381899",NULL
"882","40","39","46",NULL,"A","1632381899",NULL
"883","56","105","10",NULL,"A","1632381937",NULL
"884","56","105","41",NULL,"A","1632381937",NULL
"885","56","105","42",NULL,"A","1632381937",NULL
"886","56","105","43",NULL,"A","1632381937",NULL
"887","56","105","45",NULL,"A","1632381937",NULL
"888","56","105","46",NULL,"A","1632381937",NULL
"889","56","105","100",NULL,"A","1632381937",NULL
"890","56","105","110",NULL,"A","1632381937",NULL
"891","56","105","111",NULL,"A","1632381937",NULL
"892","56","105","115",NULL,"A","1632381937",NULL
"899","73","173","9",NULL,"A","1642079669",NULL
"900","73","173","76",NULL,"A","1642079669",NULL
"901","73","173","99",NULL,"A","1642079669",NULL
"902","73","173","134",NULL,"A","1642079669",NULL
"906","76","175","135",NULL,"A","1642086257",NULL
"907","76","175","136",NULL,"A","1642086257",NULL
"908","76","175","137",NULL,"A","1642086257",NULL
"909","77","176","76",NULL,"A","1642086605",NULL
"931","82","195","9",NULL,"A","1664089565",NULL
"932","82","195","14",NULL,"A","1664089565",NULL
"937","83","197","140",NULL,"A","1669098761",NULL
"938","83","197","141",NULL,"A","1669098761",NULL
"939","83","197","142",NULL,"A","1669098761",NULL
"940","83","197","143",NULL,"A","1669098761",NULL
"941","84","199","135",NULL,"A","1669370194",NULL
"942","84","199","136",NULL,"A","1669370194",NULL
"943","84","199","137",NULL,"A","1669370194",NULL
"953","16","16","1",NULL,"A","1683113740",NULL
"954","16","16","19",NULL,"A","1683113740",NULL
"955","16","16","22",NULL,"A","1683113740",NULL
"956","16","16","23",NULL,"A","1683113740",NULL
"957","16","16","30",NULL,"A","1683113740",NULL
"958","16","16","39",NULL,"A","1683113740",NULL
"959","16","16","51",NULL,"A","1683113740",NULL
"960","16","16","77",NULL,"A","1683113740",NULL
"982","23","2","62",NULL,"A","1690207023",NULL
"983","23","2","96",NULL,"A","1690207023",NULL
"984","89","242","30",NULL,"A","1692970603",NULL
"985","89","242","33",NULL,"A","1692970603",NULL
"986","89","242","34",NULL,"A","1692970603",NULL
"987","89","242","35",NULL,"A","1692970603",NULL
"988","89","242","36",NULL,"A","1692970603",NULL
"989","89","242","37",NULL,"A","1692970603",NULL
"990","90","250","93",NULL,"A","1695535992",NULL
"991","72","154","1",NULL,"A","1697029172",NULL
"992","72","154","9",NULL,"A","1697029172",NULL
"993","72","154","133",NULL,"A","1697029172",NULL
"994","69","149","1",NULL,"A","1698652941",NULL
"995","69","149","9",NULL,"A","1698652941",NULL
"996","69","149","76",NULL,"A","1698652941",NULL
"1004","62","132","1",NULL,"A","1698665830",NULL
"1005","62","132","43",NULL,"A","1698665830",NULL
"1006","62","132","46",NULL,"A","1698665830",NULL
"1007","62","132","100",NULL,"A","1698665830",NULL
"1008","62","132","110",NULL,"A","1698665830",NULL
"1009","62","132","111",NULL,"A","1698665830",NULL
"1010","62","132","121",NULL,"A","1698665830",NULL
"1011","49","76","1",NULL,"A","1698766714",NULL
"1012","49","76","10",NULL,"A","1698766714",NULL
"1013","21","19","56",NULL,"A","1698766750",NULL
"1014","21","19","57",NULL,"A","1698766750",NULL
"1015","21","19","58",NULL,"A","1698766750",NULL
"1016","21","19","59",NULL,"A","1698766750",NULL
"1017","21","19","60",NULL,"A","1698766750",NULL
"1018","91","140","121",NULL,"A","1698929415",NULL
"1019","91","140","147",NULL,"A","1698929415",NULL
"1020","91","140","148",NULL,"A","1698929415",NULL
"1021","91","140","149",NULL,"A","1698929415",NULL
"1022","92","166","121",NULL,"A","1698929457",NULL
"1023","92","166","147",NULL,"A","1698929457",NULL
"1024","92","166","148",NULL,"A","1698929457",NULL
"1025","92","166","149",NULL,"A","1698929457",NULL
"1026","86","225","1",NULL,"A","1700828314",NULL
"1027","86","225","19",NULL,"A","1700828314",NULL
"1028","86","225","22",NULL,"A","1700828314",NULL
"1029","86","225","23",NULL,"A","1700828314",NULL
"1030","86","225","30",NULL,"A","1700828314",NULL
"1031","86","225","39",NULL,"A","1700828314",NULL
"1032","86","225","51",NULL,"A","1700828314",NULL
"1034","80","181","139",NULL,"A","1702027190",NULL
"1035","70","152","76",NULL,"A","1709219805",NULL
"1036","70","152","77",NULL,"A","1709219805",NULL
"1037","70","152","79",NULL,"A","1709219805",NULL
"1038","54","101","1",NULL,"A","1724334775",NULL
"1039","54","101","49",NULL,"A","1724334775",NULL
"1040","93","299","1",NULL,"A","1724398751",NULL
"1041","93","299","49",NULL,"A","1724398751",NULL
"1042","19","17","1",NULL,"A","1742917619",NULL
"1043","19","17","9",NULL,"A","1742917619",NULL
"1044","78","180","41",NULL,"A","1742917701",NULL
"1045","78","180","42",NULL,"A","1742917701",NULL
"1046","78","180","43",NULL,"A","1742917701",NULL
"1047","78","180","45",NULL,"A","1742917701",NULL
"1048","81","182","1",NULL,"A","1742917809",NULL
"1049","81","182","38",NULL,"A","1742917809",NULL
"1050","81","182","39",NULL,"A","1742917809",NULL
"1051","81","182","40",NULL,"A","1742917809",NULL
"1064","94","336","150","2","A","1745405403",NULL
"1065","94","336","151","3","A","1745405403",NULL
"1066","94","336","152","4","A","1745405403",NULL
"1067","94","336","153","5","A","1745405403",NULL
"1068","94","336","154","1","A","1745405403",NULL
"1069","94","336","155","6","A","1745405403",NULL
"1070","94","336","156","7","A","1745405403",NULL
"1071","94","336","157","8","A","1745405403",NULL
"1072","94","336","158","9","A","1745405403",NULL
"1073","94","336","159","10","A","1745405403",NULL
"1074","94","336","160","11","A","1745405403",NULL
"1075","94","336","161","12","A","1745405403",NULL
"1076","87","162","144",NULL,"A","1746194120",NULL
"1077","87","162","145",NULL,"A","1746194120",NULL
"1078","87","162","162",NULL,"A","1746194120",NULL
"1079","95","200","2",NULL,"A","1747211281",NULL
