"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"135","Vandana Singh","BSc (Hons.), writer and poetess. Also teaching hindi language at an international School- Teaches Hindi Language.",NULL,,"vandana-singh-1626349615.jpeg","1626349615",NULL,"A"
"136","Umesh Sharma","Former Registrar of Rajasthan High Court, Retd. District and Sessions Judge",NULL,,"Not_Given","1626349694",NULL,"A"
"137","Srishti Girdhar","Senior Associate | Insolvency and Bankruptcy| Real Estate | General Corporate",NULL,"https://www.linkedin.com/in/srishti-girdhar-b2648b8a/","srishti-girdhar-1626701190.jpg","1626701190",NULL,"A"
"138","Samarth Chaddha","Assistant Manager (Legal) at Aster DM Healthcare",NULL,"https://www.linkedin.com/in/samarth-chaddha-law/","samarth-chaddha-1626701324.jpg","1626701324",NULL,"A"
"139","Garv Malhotra","Partner at Skywards Law",NULL,"https://www.linkedin.com/in/garvmalhotra/","garv-malhotra-1626701369.jpg","1626701369",NULL,"A"
"140","Sakshi Saran","Advocate",NULL,"https://www.linkedin.com/in/sakshi-saran-ab523561/","sakshi-saran-1626701417.jpg","1626701417",NULL,"A"
"141","Gaurav Pingle","Practising CS | Author - Handbook on Securities Laws, RPTs, Virtual Meetings | Interests: Corporate Governance & FEMA",NULL,"https://www.linkedin.com/in/gaurav-pingle-3a4aa417/","gaurav-pingle-1626701507.jpg","1626701507",NULL,"A"
"142","Payal Solanki","Senior Legal Advisor at Paash & Associates",NULL,"https://www.linkedin.com/in/adv-payal-solanki/","payal-solanki-1626701697.jpg","1626701697",NULL,"A"
"143","Mohit Khatri","Associate at Naik Naik & Co.",NULL,"https://www.linkedin.com/in/mohit-khatri-210487131/","mohit-khatri-1626701913.jpg","1626701913",NULL,"A"
"144","Patricia Gonsalves","Associate at LawSikho, Practicing Advocate",NULL,"https://www.linkedin.com/in/patricia-gonsalves-566303100/","patricia-gonsalves-1626701993.jpg","1626701993",NULL,"A"
"145","Vikas Agarwal","Co-Founder - LegaLogic Consulting, a Law Firm",NULL,"https://www.linkedin.com/in/vragarwal/","vikas-agarwal-1626702088.jpg","1626702088",NULL,"A"
