"id","course_id","module_name","added_date","modified_date","status"
"968","172","Consequences of violation of tax laws","2022-01-07 05:49:21",NULL,"A"
"969","172","International taxation and DTAAs","2022-01-07 05:50:46",NULL,"A"
"970","172","Tax Havens and Structuring","2022-01-07 05:52:42",NULL,"A"
"971","172","Advanced Issues in International Tax","2022-01-07 05:55:43",NULL,"A"
"972","172","International Tax: Penalties & Dispute Resolution","2022-01-07 05:57:10",NULL,"A"
"973","172","International Transfer Pricing","2022-01-07 05:58:59",NULL,"A"
"974","172","Stamp duty","2022-01-07 06:00:52",NULL,"A"
"975","172","Goods and Services Tax","2022-01-07 06:02:07",NULL,"A"
"976","172","Tax Litigation: Drafting and Filing Before Different Authorities","2022-01-07 06:04:37",NULL,"A"
"977","172","Introduction Of Litigation Related Drafting","2022-01-07 06:05:18",NULL,"A"
"978","172","Domestic Tax Proceedings Under Income Tax Act","2022-01-07 06:07:39",NULL,"A"
"979","172","International Taxation And Income Tax Act","2022-01-07 06:09:16",NULL,"A"
"980","172","Indirect Tax Litigation","2022-01-07 06:10:46",NULL,"A"
"981","173","Overview of legal framework for CSR","2022-01-13 05:04:36",NULL,"A"
"982","173","Understanding CSR implementation for different organizations","2022-01-13 05:05:37",NULL,"A"
"983","173","Role of HR Managers, CHROs and HR directors in conceptualisation and implementation of CSR initiatives","2022-01-13 05:06:41",NULL,"A"
"984","173","How to draft a CSR policy","2022-01-13 05:09:31",NULL,"A"
"985","173","CSR compliance as per ISO 26000 standards","2022-01-13 05:10:49",NULL,"A"
"986","173","Creation and functioning of the CSR Committee","2022-01-13 05:11:56",NULL,"A"
"987","173","Taxation of CSR activities","2022-01-13 05:12:46",NULL,"A"
"988","174","Drafting for HR Managers","2022-01-13 06:32:24",NULL,"A"
"989","174","Introduction to Contract Drafting for HR Managers","2022-01-13 06:33:14",NULL,"A"
"990","174","How to respond to Government notices and orders","2022-01-13 06:34:32",NULL,"A"
"991","174","How to draft important contractual instruments","2022-01-13 06:35:03",NULL,"A"
"992","174","How to draft employee handbook and policies","2022-01-13 06:35:53","2023-03-07 12:49:06","A"
"993","175","Concept and Framework of Corporate Governance","2022-01-13 08:06:07",NULL,"A"
"994","175","Board Effectiveness, Ethics and Governance","2022-01-13 08:07:02",NULL,"A"
"995","175","How to obtain information about a company","2022-01-13 08:10:23",NULL,"A"
"996","175","Directors and Key Managerial Personnel & their liability","2022-01-13 08:12:11",NULL,"A"
"997","175","Liability of Directors","2022-01-13 08:14:45",NULL,"A"
"998","175","Inter-corporate transactions and RPTs","2022-01-13 08:16:09",NULL,"A"
"999","175","Capital Markets and Share related dealings","2022-01-13 08:18:22",NULL,"A"
"1000","175","SEBI regulations applicable to listed entities","2022-01-13 08:20:10",NULL,"A"
"1001","175","Role of Auditors and Corporate Fraud","2022-01-13 08:22:43",NULL,"A"
"1002","176","Role of HR in an organisation - a startup founder/ CXOs perspective","2022-01-13 08:44:17",NULL,"A"
"1003","176","Key strategic HR initiatives from a startup’s perspective","2022-01-13 08:45:58",NULL,"A"
"1004","176","HR and data protection-related work in respect of tech startups","2022-01-13 08:46:55",NULL,"A"
"1005","176","How to engage with lawyers on HR-related projects and initiatives","2022-01-13 08:48:51",NULL,"A"
"1006","176","How to find international remote work projects around strategic HR","2022-01-13 08:50:51",NULL,"A"
"1007","177","Companies Act","2022-01-13 09:33:46","2022-11-23 04:51:49","A"
"1008","177","Securities Law","2022-01-13 09:34:43","2022-11-23 04:52:24","A"
"1009","177","Basic Accountancy","2022-01-13 09:35:07","2022-11-23 04:52:41","A"
"1010","177","Governance","2022-01-13 09:35:37","2022-11-23 04:53:25","A"
"1011","178","Syllabus for how to use right to information  like and expert","2022-01-19 12:41:48","2022-01-19 12:52:16","A"
"1012","180","Arbitration Agreement and Clause","2022-02-18 08:13:54",NULL,"A"
"1013","180","Commencement of arbitral  proceedings","2022-02-18 08:17:26",NULL,"A"
"1014","180","Interim measures","2022-02-18 08:21:35",NULL,"A"
"1015","180","Drafting and filing a petition for appointment of arbitrator","2022-02-18 08:26:13",NULL,"A"
"1016","180","Statement of Claims","2022-02-18 08:27:10",NULL,"A"
"1017","180","Statement of Defense and Counterclaim","2022-02-18 08:28:06",NULL,"A"
"1018","180","Evidence by Parties","2022-02-18 08:28:58",NULL,"A"
"1019","180","Cross Examination","2022-02-18 08:31:48",NULL,"A"
"1020","180","Execution of arbitral awards","2022-02-18 08:32:39",NULL,"A"
"1021","180","Challenge of arbitral awards","2022-02-18 08:33:40",NULL,"A"
"1022","180","Appeals","2022-02-18 08:34:36",NULL,"A"
"1023","180","Conciliation and Mediation","2022-02-18 08:35:47",NULL,"A"
"1024","180","INTERNATIONAL COMMERCIAL ARBITRATION","2022-02-18 08:38:22",NULL,"A"
"1025","180","Introduction to International Commercial Arbitration","2022-02-18 08:38:43",NULL,"A"
"1026","180","Seat and Venue in Arbitration","2022-02-18 08:40:56",NULL,"A"
"1027","180","How to draft an Arbitration Clause in ICA","2022-02-18 08:41:48",NULL,"A"
"1028","180","Latest trends in arbitration proceedings - emergency arbitrations and appellate arbitrations","2022-02-18 08:43:35",NULL,"A"
"1029","180","How to draft a statement of Claim and Defense","2022-02-18 08:45:31",NULL,"A"
"1030","180","Appointment and Challenge mechanism of Arbitral Tribunal","2022-02-18 08:48:09",NULL,"A"
"1031","180","Jurisdiction of Arbitral Tribunal","2022-02-18 08:50:00",NULL,"A"
"1032","180","Evidence and Hearings in International Commercial Arbitration","2022-02-18 08:51:18",NULL,"A"
"1033","180","Challenge Procedures and Grandmaster Level Defense Strategies","2022-02-18 08:52:40",NULL,"A"
"1034","180","Enforcement procedures","2022-02-18 08:53:39",NULL,"A"
"1035","180","How to file petitions in courts of Singapore, United Kingdom, Dubai International Financial Centre, US and Hong Kong for international arbitrations","2022-02-18 08:55:24",NULL,"A"
"1036","180","Investment Arbitration","2022-02-18 08:57:07",NULL,"A"
"1037","180","Implications of choice of contract law of Singapore, UK, US, Canada and India","2022-02-18 08:57:53",NULL,"A"
"1038","180","Introduction to Mediation/Conciliation","2022-02-18 08:59:37",NULL,"A"
"1039","180","Institutional mediation/ conciliation","2022-02-18 09:01:21",NULL,"A"
"1040","181","Introduction to functioning of the Supreme Court","2022-02-19 12:31:18",NULL,"A"
"1041","181","Different kinds of Supreme Court practises and Role of Lawyers at the Supreme Court","2022-02-19 12:33:26",NULL,"A"
