"id","course_faculty_id","course_id","faculty_id","position","status","added_date","modified_date"
625,32,63,19,,A,1601111915,
626,32,63,20,,A,1601111915,
627,32,63,24,,A,1601111915,
628,32,63,25,,A,1601111915,
629,32,63,26,,A,1601111915,
630,32,63,30,,A,1601111915,
631,32,63,31,,A,1601111915,
632,32,63,32,,A,1601111915,
633,32,63,33,,A,1601111915,
634,32,63,34,,A,1601111915,
635,32,63,35,,A,1601111915,
636,32,63,36,,A,1601111915,
637,32,63,37,,A,1601111915,
638,32,63,38,,A,1601111915,
639,32,63,39,,A,1601111915,
640,32,63,40,,A,1601111915,
641,32,63,41,,A,1601111915,
642,32,63,42,,A,1601111915,
643,32,63,43,,A,1601111915,
644,32,63,44,,A,1601111915,
645,32,63,45,,A,1601111915,
646,32,63,46,,A,1601111915,
647,32,63,48,,A,1601111915,
648,32,63,49,,A,1601111915,
649,32,63,50,,A,1601111915,
650,32,63,51,,A,1601111915,
651,32,63,52,,A,1601111915,
652,32,63,53,,A,1601111915,
653,32,63,54,,A,1601111915,
654,32,63,55,,A,1601111915,
674,50,106,25,,A,1602250583,
675,50,106,70,,A,1602250583,
682,44,98,63,,A,1602763513,
683,44,98,73,,A,1602763513,
684,44,98,84,,A,1602763513,
685,21,2,7,,A,1603194262,
686,21,2,24,,A,1603194262,
687,21,2,37,,D,1603194262,
688,21,2,38,,A,1603194262,
689,21,2,48,,A,1603194262,
690,21,2,49,,A,1603194262,
691,21,2,67,,A,1603194262,
692,21,2,76,,A,1603194262,
776,52,108,1,,A,1603716268,
777,52,108,2,,A,1603716268,
778,52,108,3,,A,1603716268,
779,52,108,6,,A,1603716268,
780,52,108,7,,A,1603716268,
781,52,108,12,,A,1603716268,
782,52,108,15,,A,1603716268,
783,52,108,16,,A,1603716268,
784,52,108,17,,A,1603716268,
785,52,108,18,,A,1603716268,
786,52,108,19,,A,1603716268,
787,52,108,20,,A,1603716268,
788,52,108,24,,A,1603716268,
789,52,108,25,,A,1603716268,
790,52,108,26,,A,1603716268,
791,52,108,29,,A,1603716268,
792,52,108,30,,A,1603716268,
793,52,108,31,,A,1603716268,
794,52,108,32,,A,1603716268,
795,52,108,33,,A,1603716268,
796,52,108,34,,A,1603716268,
797,52,108,35,,A,1603716268,
798,52,108,36,,A,1603716268,
799,52,108,37,,A,1603716268,
800,52,108,38,,A,1603716268,
801,52,108,39,,A,1603716268,
802,52,108,40,,A,1603716268,
803,52,108,41,,A,1603716268,
804,52,108,42,,A,1603716268,
805,52,108,43,,A,1603716268,
806,52,108,44,,A,1603716268,
807,52,108,45,,A,1603716268,
808,52,108,46,,A,1603716268,
809,52,108,48,,A,1603716268,
810,52,108,49,,A,1603716268,
811,52,108,50,,A,1603716268,
812,52,108,51,,A,1603716268,
813,52,108,52,,A,1603716268,
814,52,108,54,,A,1603716268,
815,52,108,55,,A,1603716268,
816,52,108,72,,A,1603716268,
822,49,104,7,,A,1604305165,
823,49,104,18,,A,1604305165,
824,49,104,50,,A,1604305165,
825,49,104,77,,A,1604305165,
826,49,104,78,,A,1604305165,
827,49,104,80,,A,1604305165,
828,54,111,25,,A,1604405026,
829,54,111,70,,A,1604405026,
835,55,113,1,,A,1604580446,
836,55,113,85,,A,1604580446,
837,55,113,86,,A,1604580446,
843,42,96,1,,A,1605873456,
846,56,116,70,,A,1606476374,
847,56,116,71,,A,1606476374,
848,56,116,85,,A,1606476374,
849,47,102,25,,A,1606894815,
850,47,102,46,,A,1606894815,
851,47,102,69,,A,1606894815,
852,47,102,74,,A,1606894815,
853,47,102,75,,A,1606894815,
854,47,102,87,,A,1606894815,
855,57,99,88,,A,1607161151,
859,58,117,46,,A,1607418694,
860,58,117,70,,A,1607418694,
861,58,117,85,,A,1607418694,
862,59,70,89,,A,1611057243,
866,51,105,81,,A,1611210556,
867,51,105,82,,A,1611210556,
868,51,105,83,,A,1611210556,
870,60,103,3,,A,1611570236,
871,12,12,2,,A,1647929381,
872,12,12,12,,A,1647929381,
873,12,12,15,,A,1647929381,
874,62,148,2,,A,1655724625,
875,62,148,3,,A,1655724625,
876,63,184,3,,A,1695222016,
877,64,218,6,,A,1736327876,
878,64,218,13,,A,1736327876,
879,64,218,16,,A,1736327876,
880,64,218,17,,A,1736327876,
881,35,91,1,,A,1746947570,
882,35,91,2,,A,1746947570,
883,35,91,3,,A,1746947571,
884,35,91,32,,A,1746947571,
885,35,91,34,,A,1746947571,
886,35,91,60,,A,1746947571,
889,65,174,1,,A,1746962071,
890,65,174,2,,A,1746962071,
891,65,174,4,,A,1746962071,
892,65,174,6,,A,1746962071,
