"id","course_industry_id","course_id","industries_id","status","added_date","modified_date"
"114","17","15","22","A","1571813133",NULL
"115","17","15","23","A","1571813133",NULL
"116","17","15","24","A","1571813133",NULL
"117","17","15","25","A","1571813133",NULL
"118","17","15","26","A","1571813133",NULL
"119","18","17","1","A","1571813419",NULL
"120","18","17","6","A","1571813419",NULL
"121","18","17","7","A","1571813419",NULL
"125","19","18","6","A","1571814203",NULL
"126","19","18","7","A","1571814203",NULL
"127","19","18","9","A","1571814203",NULL
"128","19","18","27","A","1571814203",NULL
"129","19","18","28","A","1571814203",NULL
"130","19","18","29","A","1571814203",NULL
"131","19","18","30","A","1571814203",NULL
"132","19","18","31","A","1571814203",NULL
"133","20","20","1","A","1571817402",NULL
"134","20","20","8","A","1571817402",NULL
"135","20","20","12","A","1571817402",NULL
"136","20","20","19","A","1571817402",NULL
"137","20","20","20","A","1571817402",NULL
"138","21","19","2","A","1571817643",NULL
"139","21","19","4","A","1571817643",NULL
"140","21","19","7","A","1571817643",NULL
"141","21","19","8","A","1571817643",NULL
"142","21","19","25","A","1571817643",NULL
"143","21","19","32","A","1571817643",NULL
"144","22","19","2","A","1571817890",NULL
"145","22","19","4","A","1571817890",NULL
"146","22","19","7","A","1571817890",NULL
"147","22","19","8","A","1571817890",NULL
"148","22","19","12","A","1571817890",NULL
"149","22","19","19","A","1571817890",NULL
"150","22","19","20","A","1571817890",NULL
"151","22","19","25","A","1571817890",NULL
"152","22","19","32","A","1571817890",NULL
"153","22","19","33","A","1571817890",NULL
"154","22","19","34","A","1571817890",NULL
"164","24","23","1","A","1571826051",NULL
"165","24","23","6","A","1571826051",NULL
"166","24","23","7","A","1571826051",NULL
"167","24","23","8","A","1571826051",NULL
"168","24","23","9","A","1571826051",NULL
"193","26","26","6","A","1571987407",NULL
"194","26","26","8","A","1571987407",NULL
"195","26","26","9","A","1571987407",NULL
"196","26","26","12","A","1571987407",NULL
"197","26","26","16","A","1571987407",NULL
"198","26","26","20","A","1571987407",NULL
"199","26","26","23","A","1571987407",NULL
"200","26","26","24","A","1571987407",NULL
"201","26","26","25","A","1571987407",NULL
"202","26","26","26","A","1571987407",NULL
"203","26","26","36","A","1571987407",NULL
"204","27","27","6","A","1573563068",NULL
"205","27","27","7","A","1573563068",NULL
"206","27","27","8","A","1573563068",NULL
"207","27","27","9","A","1573563068",NULL
"208","27","27","19","A","1573563068",NULL
"209","27","27","33","A","1573563068",NULL
"210","28","28","6","A","1573566417",NULL
"211","28","28","7","A","1573566417",NULL
"212","28","28","8","A","1573566417",NULL
"213","28","28","9","A","1573566417",NULL
"214","28","28","19","A","1573566417",NULL
"215","28","28","33","A","1573566417",NULL
"216","29","29","6","A","1573582230",NULL
"217","29","29","7","A","1573582230",NULL
"218","29","29","8","A","1573582230",NULL
"219","29","29","9","A","1573582230",NULL
"220","29","29","19","A","1573582230",NULL
"221","29","29","33","A","1573582230",NULL
"222","30","30","6","A","1573584260",NULL
"223","30","30","7","A","1573584260",NULL
"224","30","30","8","A","1573584260",NULL
"225","30","30","9","A","1573584260",NULL
"226","30","30","19","A","1573584260",NULL
"227","30","30","33","A","1573584260",NULL
"228","31","31","6","A","1573590975",NULL
"229","31","31","7","A","1573590975",NULL
"230","31","31","8","A","1573590975",NULL
"231","31","31","9","A","1573590975",NULL
"232","31","31","19","A","1573590975",NULL
"233","31","31","33","A","1573590975",NULL
"234","32","32","6","A","1573636310",NULL
"235","32","32","7","A","1573636310",NULL
"236","32","32","8","A","1573636310",NULL
"237","32","32","9","A","1573636310",NULL
"238","32","32","19","A","1573636310",NULL
"239","32","32","33","A","1573636310",NULL
"240","33","33","6","A","1573639960",NULL
"241","33","33","7","A","1573639960",NULL
"242","33","33","8","A","1573639960",NULL
"243","33","33","9","A","1573639960",NULL
"244","33","33","19","A","1573639960",NULL
"245","33","33","33","A","1573639960",NULL
"246","34","34","6","A","1573669318",NULL
"247","34","34","7","A","1573669318",NULL
"248","34","34","8","A","1573669318",NULL
"249","34","34","9","A","1573669318",NULL
"250","34","34","19","A","1573669318",NULL
"251","34","34","33","A","1573669318",NULL
"252","35","35","6","A","1573671524",NULL
"253","35","35","7","A","1573671524",NULL
"254","35","35","8","A","1573671524",NULL
"255","35","35","9","A","1573671524",NULL
"256","35","35","19","A","1573671524",NULL
"257","35","35","33","A","1573671524",NULL
"258","36","36","6","A","1573673372",NULL
"259","36","36","7","A","1573673372",NULL
"260","36","36","8","A","1573673372",NULL
"261","36","36","9","A","1573673372",NULL
"262","36","36","19","A","1573673372",NULL
"263","36","36","33","A","1573673372",NULL
"264","37","37","6","A","1573676775",NULL
"265","37","37","7","A","1573676775",NULL
"266","37","37","8","A","1573676775",NULL
"267","37","37","9","A","1573676775",NULL
"268","37","37","19","A","1573676775",NULL
"269","37","37","33","A","1573676775",NULL
"270","38","38","6","A","1573679576",NULL
"271","38","38","7","A","1573679576",NULL
"272","38","38","8","A","1573679576",NULL
"273","38","38","9","A","1573679576",NULL
"274","38","38","19","A","1573679576",NULL
"275","38","38","33","A","1573679576",NULL
"276","3","3","1","A","1573727012",NULL
"277","3","3","6","A","1573727012",NULL
"278","3","3","7","A","1573727012",NULL
"279","3","3","8","A","1573727012",NULL
"280","3","3","9","A","1573727012",NULL
"281","39","39","6","A","1573757252",NULL
"282","39","39","7","A","1573757252",NULL
"283","39","39","8","A","1573757252",NULL
"284","39","39","9","A","1573757252",NULL
"285","39","39","33","A","1573757252",NULL
"286","40","40","6","A","1573758907",NULL
"287","40","40","7","A","1573758907",NULL
"288","40","40","8","A","1573758907",NULL
