"id","person_name","person_designation","person_organisation","person_linkedin","person_website_link","status","image_name","added_date","modified_date"
"90","Rahul Rai","Of- Counsel- AZB and Partners, Associate- Chambers of Mr. Gopal Subramanium",NULL,"https://www.linkedin.com/in/rahulrai/?originalSubdomain=in",,"A","Rahul Rai-1587479874.jpg","1587479874",NULL
"91","Nitish Chopra","Advocate, Chopra Associates",NULL,"https://www.linkedin.com/in/advnitishchopra/",,"A","Nitish Chopra-1587999452.jpg","1587999452",NULL
"92","Puneet Gupta","Independent Law Practice Professional",NULL,"https://www.linkedin.com/in/AdvPuneetGupta/",,"A","Puneet Gupta-1587999620.jpg","1587999620",NULL
"93","Esha Shekhar","Independent Corporate Counsel | Corporate Advisory and Compliance | Trainer- POSH and gender laws",NULL,"https://www.linkedin.com/in/esha-shekhar/",,"A","Esha Shekhar-1590043512.jpg","1587999730","1590043512"
"94","Nitish Bagri","Independent Professional, NBA Legal Consultants",NULL,"https://www.linkedin.com/in/nitishbagri/",,"A","Nitish Bagri-1591193934.jpg","1591193934",NULL
"95","Natasha Sahni","Ex - associate, Indus Law",NULL,"https://www.linkedin.com/in/natasha-sahni-a6a33a45/",,"A","Natasha Sahni-1591194722.jpg","1591194722",NULL
"96","Karthik Jayakumar","Founding Partner at K Legal",NULL,"https://www.linkedin.com/in/karthikjkumar/",,"A","Karthik Jayakumar-1594379627.jpg","1594379627",NULL
"97","Arvind Srevatsa","Advocate & Partner, ASN Law Chamber",NULL,"https://www.linkedin.com/in/arvind-srevatsa-75a7bb83/",,"A","Arvind Srevatsa-1594379978.jpg","1594379978",NULL
"98","Apoorva Saxena","Advocate & Legal Consultant at AUA Legal LLP, ex-J.Sagar Associates, Blogger at SkyAdvo",NULL,"https://www.linkedin.com/in/apoorva-saxena-978a20106/?originalSubdomain=in",,"A","Apoorva Saxena-1595326763.jpg","1595326763",NULL
"99","Ashok Naik","Lawyer & Adviser on Employment & Service Law Matters, Ex-Senior Vice President & Head Employee Relations at IndusInd Bank Limited (35+ years’ experience)",NULL,"https://www.linkedin.com/in/ashok-naik-81a3b644/?originalSubdomain=in",,"A","Ashok Naik-1595412156.jpg","1595412156",NULL
"100","Shruti Khanijow","Principal Associate - Khaitan, Ex-CAM, University of Cambridge",NULL,"https://www.linkedin.com/in/shruti-khanijow-92971321/?originalSubdomain=in",,"A","Shruti Khanijow-1596718872.jpg","1596718257","1618656210"
"101","Pranita Dharmadhikari","Ex-IPR officer at Ajanta Pharmaceuticals Ltd., Mumbai, Ex-Patent Analyst at VKnow Patent Services, Pursuing Masters in Patent Practice at Case Western Reserve University School of Law, Ohio, United St",NULL,,,"A","Pranita Dharmadhikari-1599811407.jpg","1599811407",NULL
"102","Jayom Shah","Counsel - Bombay High Court",NULL,"https://www.linkedin.com/in/jayom-shah-b286a850/",,"A","Jayom Shah-1601039672.jpg","1601039672",NULL
"103","Kapil Madan","Partner, KMA Law Offices  Former managing Associate, Luthra and Luthra Law Offices",NULL,"https://www.linkedin.com/in/kapil-madan-8a206291/",,"A","Kapil Madan-1601039779.jpg","1601039779",NULL
"104","Lalitendra Guilani","Partner, Palit & Co., Advocates and Solicitors",NULL,"https://www.linkedin.com/in/lalitendra-gulani-27373a181/",,"A","Lalitendra Guilani-1601039838.jpg","1601039838",NULL
"105","Veena Ranganathan","Founder, Versatile Legal, Advocates and Consultants",NULL,"https://www.linkedin.com/in/veenabalaji/",,"A","Veena Ranganathan-1601040160.jpg","1601040089","1601040160"
"106","Srividhya Ragavan","Professor of Law at Texas A&M University School of Law, Director of India Programs",NULL,"https://www.linkedin.com/in/srividhya-ragavan-6965b11a/",,"A","Srividhya Ragavan-1601570955.jpg","1601120667","1601570955"
"107","Irene Calboli","Professor of Law at Texas A&M University School of Law",NULL,"https://www.linkedin.com/in/irene-calboli-5456813/",,"A","Irene Calboli-1601570644.jpg","1601120705","1601570644"
