"id","title","status","url_masking","ap_portal_course_catagory_id"
280,"Service Business Entrepreneurship: Scale to 1 cr Per Year","A","service-business-entrepreneurship-scale-to-1-cr-per-year",10
281,"CLAT PG Mock Test Series","A","clat-pg-mock-test-series",5
282,"CLAT  & AILET UG Mock Test Series","A","clat---ailet-ug-mock-test-series",5
283,"All India Bar Examination (XIX) Mock Test Series","A","all-india-bar-examination-xix-mock-test-series",5
284,"IBPS SO  Law Officer 2024 Mains Mock Test Series","A","ibps-so--law-officer-2024-mains-mock-test-series",5
285,"Rajasthan Assistant Prosecution Officer (APO) Prelims Mock Test Series","A","rajasthan-assistant-prosecution-officer-apo-prelims-mock-test-series",5
286,"Certificate Program in Tax Advisory and Representation for Enrolled Agent Preparation","A","certificate-program-in-tax-advisory-and-representation-for-enrolled-agent-preparation",10
287,"Tamil Nadu (TN) Judicial Services Exam Preparation","A","tamil-nadu-tn-judicial-services-exam-preparation",5
288,"Puducherry Judicial Services Exam Preparation","A","puducherry-judicial-services-exam-preparation",5
289,"Global Patent Strategist Program: Mastering UK, EPO & JPO for R&D Professionals","A","global-patent-strategist-program-mastering-uk-epo--jpo-for-rd-professionals",10
290,"Himachal Pradesh Civil Judge (Junior Division) Prelims Mock Test Series","A","himachal-pradesh-civil-judge-junior-division-prelims-mock-test-series",5
292,"CHHATTISGARH Civil Judge (Junior Division) Prelims Mock Test Series","A","chhattisgarh-civil-judge-junior-division-prelims-mock-test-series",5
293,"Tamil Nadu Assistant Public Prosecutor (APP) Prelims Mock Test Series","A","tamil-nadu-assistant-public-prosecutor-app-prelims-mock-test-series",5
294,"Gujarat Civil Judge (Junior Division) Prelims Mock Test Series","A","gujarat-civil-judge-junior-division-prelims-mock-test-series",5
296,"Assam Civil Judge (Junior Division) Prelims Mock Test Series","A","assam-civil-judge-junior-division-prelims-mock-test-series",5
298,"Goa Assistant Public Prosecutor (APP) Prelims Mock Test Series","A","goa-assistant-public-prosecutor-app-prelims-mock-test-series",5
300,"US Corporate Compliance","A","us-corporate-compliance",10
301,"Karnataka Civil Judge (Junior Division) Prelims Mock Test Series","A","karnataka-civil-judge-junior-division-prelims-mock-test-series",5
302,"Rajasthan Civil Judge (Junior Division) Prelims (2025) Mock Test Series","A","rajasthan-civil-judge-junior-division-prelims-2025-mock-test-series",5
303,"Himachal Pradesh Civil Judge (Junior Division) Mains (2025) Mock Test Series","A","himachal-pradesh-civil-judge-junior-division-mains-2025-mock-test-series",5
304,"Training program on ESG: Strategy, Governance & Compliance","A","training-program-on-esg-strategy-governance--compliance",11
305,"NALSAR, NSDC & LAWSIKHO present: Diploma in Future of Law: AI, Technology & Legal Practice","A","future-of-law-ai-technology--legal-practice",1
306,"Success blueprint to crack Rajasthan Judiciary","A","success-blueprint-to-crack-rajasthan-judiciary",5
307,"Master preparation for UPPSC Judicial Services Examination","A","master-preparation-for-uppsc-judicial-services-examination",5
311,"NICL AO Scale I Law Officer 2025 Prelims Mock Test Series","A","nicl-ao-scale-i-law-officer-2025-prelims-mock-test-series",5
313,"Jammu and Kashmir Civil Judge (Junior Division) 2025 Prelims Mock Test Series","A","jammu-and-kashmir-civil-judge-junior-division-2025-prelims-mock-test-series",5
314,"Gujarat Civil Judge (Junior Division) Mains (2025) Mock Test Series","A","gujarat-civil-judge-junior-division-mains-2025-mock-test-series",5
315,"Uttarakhand Civil Judge (JUNIOR DIVISION) Prelims 2025 Exam","A","uttarakhand-civil-judge-junior-division-prelims-2025-exam",5
316,"Andhra Pradesh Judicial Services Mains Test Series","A","andhra-pradesh-judicial-services-mains-test-series",5
